miRna,target,lp_label,confidence,mor
20040,4212,1,Medium,
20040,4213,1,Medium,
20040,4214,1,Medium,
20040,4215,1,Medium,
20040,4216,1,Medium,
20040,4217,1,Medium,
20040,2755,1,Medium,
20040,4218,1,Medium,
20040,4219,1,Medium,
20040,4220,1,Medium,
20040,4221,1,Medium,
20040,3344,1,Medium,
20040,4222,1,Medium,
20040,4223,1,Medium,
20040,4224,1,Medium,
20040,3274,1,Medium,
20040,4225,1,Medium,
20040,4226,1,Medium,
20040,4227,1,Medium,
20040,4228,1,Medium,
20040,4229,1,Medium,
20040,4230,1,Medium,
20040,3386,1,Medium,
20040,4231,1,Medium,
20040,4232,1,Medium,
20040,2098,1,Medium,
20040,4233,1,Medium,
20040,4234,1,Medium,
20040,4235,1,Medium,
20040,3061,1,Medium,
20040,4236,1,Medium,
20040,4237,1,Medium,
20040,4238,1,Medium,
20040,4239,1,Medium,
20040,4240,1,Medium,
20040,4241,1,Medium,
20040,4242,1,Medium,
20040,4243,1,Medium,
20040,4244,1,Medium,
20040,4245,1,Medium,
20040,4246,1,Medium,
20040,2223,1,Medium,
20040,4247,1,Medium,
20040,2183,1,Medium,
20040,4248,1,Medium,
20040,2224,1,Medium,
20040,4249,1,Medium,
20040,4250,1,Medium,
20040,4251,1,Medium,
20040,4252,1,Medium,
20040,4253,1,Medium,
20040,4254,1,Medium,
20040,4255,1,Medium,
20040,4256,1,Medium,
20040,4257,1,Medium,
20040,4258,1,Medium,
20040,4259,1,Medium,
20040,4260,1,Medium,
20040,4261,1,Medium,
20040,4262,1,Medium,
20040,4263,1,Medium,
20040,4264,1,Medium,
20040,4265,1,Medium,
20040,4266,1,Medium,
20040,2785,1,Medium,
20040,4267,1,Medium,
20040,4268,1,Medium,
20040,4269,1,Medium,
20040,4270,1,Medium,
20040,4271,1,Medium,
20040,4272,1,Medium,
20040,4273,1,Medium,
20040,4274,1,Medium,
20040,4275,1,Medium,
20040,4276,1,Medium,
20040,4277,1,Medium,
20040,4278,1,Medium,
20040,4279,1,Medium,
20040,3494,1,Medium,
20040,4280,1,Medium,
20040,4281,1,Medium,
20040,4282,1,Medium,
20040,4283,1,Medium,
20040,4284,1,Medium,
20040,4285,1,Medium,
20040,4286,1,Medium,
20040,4287,1,Medium,
20040,4288,1,Medium,
20040,4289,1,Medium,
20040,4290,1,Medium,
20040,4291,1,Medium,
20040,4292,1,Medium,
20040,4293,1,Medium,
20040,4294,1,Medium,
20040,4295,1,Medium,
20040,4296,1,Medium,
20040,4297,1,Medium,
20040,4298,1,Medium,
20040,4299,1,Medium,
20040,4300,1,Medium,
20040,4301,1,Medium,
20040,4302,1,Medium,
20040,2828,1,Medium,
20040,4303,1,Medium,
20040,4304,1,Medium,
20040,4305,1,Medium,
20040,4306,1,Medium,
20040,4307,1,Medium,
20040,3495,1,Medium,
20040,4308,1,Medium,
20040,4309,1,Medium,
20040,4310,1,Medium,
20040,2823,1,Medium,
20040,4311,1,Medium,
20040,3267,1,Medium,
20040,4312,1,Medium,
20040,4313,1,Medium,
20040,4314,1,Medium,
20040,2817,1,Medium,
20040,4315,1,Medium,
20040,4316,1,Medium,
20040,4317,1,Medium,
20040,4318,1,Medium,
20040,4319,1,Medium,
20040,4320,1,Medium,
20040,4321,1,Medium,
20040,4322,1,Medium,
20040,3561,1,Medium,
20040,4323,1,Medium,
20040,4324,1,Medium,
20041,1673,1,Medium,
20041,3973,1,Medium,
20041,3904,1,Medium,
20041,4029,1,Medium,
20041,4172,1,Medium,
20041,4007,1,Medium,
20041,1651,1,Medium,
20041,2817,1,Medium,
20041,3906,1,Medium,
20041,3899,1,Medium,
20041,3900,1,Medium,
20041,4325,1,Medium,
20041,4326,1,Medium,
20041,3907,1,Medium,
20041,3903,1,Medium,
20041,3898,1,Medium,
20041,4327,1,Medium,
20041,1709,1,Medium,
20041,3905,1,Medium,
20041,3902,1,Medium,
20041,3925,1,Medium,
20041,4328,1,Medium,
20041,3919,1,Medium,
20041,3882,1,Medium,
20041,3901,1,Medium,
20041,3889,1,Medium,
20041,3897,1,Medium,
20041,4329,1,Medium,
20041,3916,1,Medium,
20041,3911,1,Medium,
20041,4330,1,Medium,
20041,3913,1,Medium,
20041,3917,1,Medium,
20041,3261,1,Medium,
20041,3926,1,Medium,
20041,2025,1,Medium,
20041,3923,1,Medium,
20041,3918,1,Medium,
20041,4331,1,Medium,
20041,3915,1,Medium,
20041,3912,1,Medium,
20041,3921,1,Medium,
20041,3922,1,Medium,
20041,3924,1,Medium,
20041,3920,1,Medium,
20041,3888,1,Medium,
20041,3908,1,Medium,
20041,3944,1,Medium,
20041,3931,1,Medium,
20041,3941,1,Medium,
20041,3930,1,Medium,
20041,3929,1,Medium,
20041,2465,1,Medium,
20041,3933,1,Medium,
20041,3939,1,Medium,
20041,3946,1,Medium,
20041,2408,1,Medium,
20041,3950,1,Medium,
20041,3942,1,Medium,
20041,3936,1,Medium,
20041,3940,1,Medium,
20041,3937,1,Medium,
20041,3938,1,Medium,
20041,3953,1,Medium,
20041,3947,1,Medium,
20041,3949,1,Medium,
20041,3948,1,Medium,
20041,3945,1,Medium,
20041,3954,1,Medium,
20041,3951,1,Medium,
20041,3952,1,Medium,
20041,3943,1,Medium,
20041,3957,1,Medium,
20041,3962,1,Medium,
20041,3959,1,Medium,
20041,3961,1,Medium,
20041,3958,1,Medium,
20041,4332,1,Medium,
20041,4333,1,Medium,
20041,3956,1,Medium,
20041,3964,1,Medium,
