miRna,TF,lp_label,confidence,mor
20048,251,1,Medium,
20048,254,1,Medium,
20048,262,1,Medium,
20048,739,1,Medium,
20048,753,1,Medium,
20048,284,1,Medium,
20048,328,1,Medium,
20048,774,1,Medium,
20048,785,1,Medium,
20048,789,1,Medium,
20048,313,1,Medium,
20048,790,1,Medium,
20048,797,1,Medium,
20048,796,1,Medium,
20048,318,1,Medium,
20048,793,1,Medium,
20048,321,1,Medium,
20048,329,1,Medium,
20048,330,1,Medium,
20048,337,1,Medium,
20048,817,1,Medium,
20048,1122,1,Medium,
20048,354,1,Medium,
20048,1124,1,Medium,
20048,839,1,Medium,
20048,514,1,Medium,
20048,975,1,Medium,
20048,891,1,Medium,
20048,852,1,Medium,
20048,515,1,Medium,
20048,974,1,Medium,
20048,860,1,Medium,
20048,114,1,Medium,
20048,521,1,Medium,
20048,119,1,Medium,
20048,536,1,Medium,
20048,531,1,Medium,
20048,600,1,Medium,
20048,557,1,Medium,
20048,986,1,Medium,
20048,989,1,Medium,
20048,563,1,Medium,
20048,126,1,Medium,
20048,137,1,Medium,
20048,1001,1,Medium,
20048,165,1,Medium,
20048,1005,1,Medium,
20048,596,1,Medium,
20048,923,1,Medium,
20048,604,1,Medium,
20048,609,1,Medium,
20048,174,1,Medium,
20048,511,1,Medium,
20048,645,1,Medium,
20048,967,1,Medium,
20048,399,1,Medium,
20048,911,1,Medium,
20048,410,1,Medium,
20048,414,1,Medium,
20048,423,1,Medium,
20048,926,1,Medium,
20048,34,1,Medium,
20048,433,1,Medium,
20048,435,1,Medium,
20048,45,1,Medium,
20048,98,1,Medium,
20048,54,1,Medium,
20048,934,1,Medium,
20048,52,1,Medium,
20048,467,1,Medium,
20048,446,1,Medium,
20048,64,1,Medium,
20048,70,1,Medium,
20048,945,1,Medium,
20048,472,1,Medium,
20048,475,1,Medium,
20048,72,1,Medium,
20048,88,1,Medium,
20048,651,1,Medium,
20048,1023,1,Medium,
20048,648,1,Medium,
20048,678,1,Medium,
20048,654,1,Medium,
20048,659,1,Medium,
20048,1170,1,Medium,
20048,1028,1,Medium,
20048,670,1,Medium,
20048,669,1,Medium,
20048,675,1,Medium,
20048,866,1,Medium,
20048,207,1,Medium,
20048,680,1,Medium,
20048,209,1,Medium,
20048,710,1,Medium,
20048,700,1,Medium,
20048,232,1,Medium,
20048,231,1,Medium,
20048,709,1,Medium,
20048,708,1,Medium,
20048,1156,1,Medium,
20048,245,1,Medium,
20048,1168,1,Medium,
20048,718,1,Medium,
20048,720,1,Medium,
20049,454,1,Medium,
20049,514,1,Medium,
20049,528,1,Medium,
20049,581,1,Medium,
20049,127,1,Medium,
20049,1005,1,Medium,
20049,733,1,Medium,
20049,702,1,Medium,
20049,1045,1,Medium,
20049,1068,1,Medium,
20049,316,1,Medium,
20050,109,1,Medium,
20050,1087,1,Medium,
20050,91,1,Medium,
20050,480,1,Medium,
20050,501,1,Medium,
20050,104,1,Medium,
20050,511,1,Medium,
20050,11,1,Medium,
20050,953,1,Medium,
20050,461,1,Medium,
20050,459,1,Medium,
20050,472,1,Medium,
20050,477,1,Medium,
20050,908,1,Medium,
20050,399,1,Medium,
20050,914,1,Medium,
20050,911,1,Medium,
20050,408,1,Medium,
20050,411,1,Medium,
20050,410,1,Medium,
20050,422,1,Medium,
20050,929,1,Medium,
20050,437,1,Medium,
20050,58,1,Medium,
20050,207,1,Medium,
20050,216,1,Medium,
20050,194,1,Medium,
20050,681,1,Medium,
20050,652,1,Medium,
20050,650,1,Medium,
20050,648,1,Medium,
20050,279,1,Medium,
20050,275,1,Medium,
20050,195,1,Medium,
20050,706,1,Medium,
20050,710,1,Medium,
20050,718,1,Medium,
20050,240,1,Medium,
